City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
206,Pyu,MM,18.4833,96.4333,64.4,30,85,6.6,overcast clouds,2022-02-14 19:29:43
207,Trinidad,BO,-14.8333,-64.9,87.78,58,40,4.61,scattered clouds,2022-02-14 19:29:43
208,Muravlenko,RU,63.7898,74.523,-6.23,100,100,6.64,overcast clouds,2022-02-14 19:29:43
209,Thurso,GB,58.5927,-3.5259,39.15,65,8,6.67,clear sky,2022-02-14 19:29:07
210,Waounde,SN,15.2637,-12.8682,86.04,12,43,10.11,scattered clouds,2022-02-14 19:25:17
211,Rudbar,AF,30.15,62.6,50.34,42,0,11.77,clear sky,2022-02-14 19:29:44
212,Yzeure,FR,46.5644,3.355,44.96,88,26,5.79,scattered clouds,2022-02-14 19:29:44
213,Iskateley,RU,67.6803,53.1512,9.03,89,100,17.96,overcast clouds,2022-02-14 19:29:45
214,Pangody,RU,65.85,74.4859,-16.67,100,95,7.31,overcast clouds,2022-02-14 19:29:45
215,Santiago,CL,-33.4569,-70.6483,88.29,33,0,13.8,clear sky,2022-02-14 19:27:09
216,Kloulklubed,PW,7.0419,134.2556,79.3,75,11,13.69,few clouds,2022-02-14 19:29:45
217,Inirida,CO,3.8653,-67.9239,91.94,48,100,0.67,overcast clouds,2022-02-14 19:29:46
218,Livny,RU,52.4253,37.6069,18.93,92,51,9.73,broken clouds,2022-02-14 19:29:46
219,Mar Del Plata,AR,-38.0023,-57.5575,77.02,84,0,13.0,clear sky,2022-02-14 19:27:38
220,Luderitz,NA,-26.6481,15.1594,70.47,77,1,6.71,clear sky,2022-02-14 19:29:46
221,Christchurch,NZ,-43.5333,172.6333,57.94,88,100,4.61,overcast clouds,2022-02-14 19:25:06
222,Prince Rupert,CA,54.3161,-130.3201,46.09,81,0,3.44,clear sky,2022-02-14 19:25:07
223,El Cobre,CU,20.0489,-75.9469,90.84,46,40,11.5,scattered clouds,2022-02-14 19:29:47
224,Mandal,IN,25.45,74.5667,60.13,34,0,3.15,clear sky,2022-02-14 19:29:47
225,Port Lincoln,AU,-34.7333,135.8667,63.79,81,100,14.61,overcast clouds,2022-02-14 19:29:48
226,Cayenne,GF,4.9333,-52.3333,78.1,90,75,7.0,broken clouds,2022-02-14 19:29:48
227,Camana,PE,-16.6228,-72.7111,74.84,70,15,8.57,few clouds,2022-02-14 19:29:48
228,Rio Cuarto,AR,-33.1307,-64.3499,88.66,29,0,11.5,clear sky,2022-02-14 19:29:48
229,Aripuana,BR,-9.1667,-60.6333,78.62,94,95,4.07,moderate rain,2022-02-14 19:29:49
230,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,broken clouds,2022-02-14 19:29:49
231,Beringovskiy,RU,63.05,179.3167,-20.4,96,100,13.04,overcast clouds,2022-02-14 19:29:49
232,Hithadhoo,MV,-0.6,73.0833,82.27,71,92,11.3,overcast clouds,2022-02-14 19:29:50
233,Cabo San Lucas,MX,22.8909,-109.9124,90.7,47,0,10.36,clear sky,2022-02-14 19:25:56
234,Porto Real,BR,-22.4197,-44.2903,84.69,74,7,2.35,clear sky,2022-02-14 19:29:50
235,Tautira,PF,-17.7333,-149.15,86.02,76,76,17.92,light rain,2022-02-14 19:29:50
236,Sabang,ID,5.8933,95.3214,81.01,73,77,2.08,broken clouds,2022-02-14 19:29:51
237,Goderich,CA,43.7501,-81.7165,17.91,48,100,1.14,overcast clouds,2022-02-14 19:29:51
238,Baculin,PH,7.4525,126.5842,76.6,87,81,8.08,broken clouds,2022-02-14 19:29:51
239,Tamworth,GB,52.634,-1.6959,44.47,86,100,8.99,overcast clouds,2022-02-14 19:28:17
240,Vao,NC,-22.6667,167.4833,79.25,84,64,18.79,broken clouds,2022-02-14 19:29:52
241,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,81,75,9.22,drizzle,2022-02-14 19:29:52
242,Ngunguru,NZ,-35.6167,174.5,59.16,68,98,12.39,overcast clouds,2022-02-14 19:29:53
243,Bowen,AU,-20.0167,148.2333,73.62,84,100,15.93,overcast clouds,2022-02-14 19:29:53
244,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,86,13,14.41,few clouds,2022-02-14 19:29:53
245,Zhezkazgan,KZ,47.8043,67.7144,14.95,85,89,17.67,overcast clouds,2022-02-14 19:29:53
246,Nikolskoye,RU,59.7035,30.7861,36.88,89,100,10.27,overcast clouds,2022-02-14 19:29:54
247,Wewak,PG,-3.5534,143.6268,77.07,92,100,5.39,heavy intensity rain,2022-02-14 19:29:54
248,Bushehr,IR,28.9684,50.8385,62.69,82,0,0.0,mist,2022-02-14 19:29:54
249,Ketchikan,US,55.3422,-131.6461,42.78,81,0,10.36,clear sky,2022-02-14 19:29:55
250,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,40,11.5,light rain,2022-02-14 19:29:55
251,Luxor,EG,25.6989,32.6421,62.92,26,0,10.78,clear sky,2022-02-14 19:29:55
252,Fukuma,JP,33.7667,130.4667,50.04,62,32,17.47,scattered clouds,2022-02-14 19:29:56
253,La Libertad,EC,-2.2333,-80.9,82.06,69,0,5.75,clear sky,2022-02-14 19:29:56
254,Plouzane,FR,48.3833,-4.6167,49.08,84,40,13.8,scattered clouds,2022-02-14 19:29:56
255,Yamada,JP,39.4667,141.95,31.78,79,100,2.1,overcast clouds,2022-02-14 19:29:57
256,Fare,PF,-16.7,-151.0167,80.85,76,84,18.01,broken clouds,2022-02-14 19:29:57
257,Panjab,AF,34.388,67.0233,4.15,100,79,4.59,broken clouds,2022-02-14 19:29:57
258,Kadoma,JP,34.7333,135.5833,40.66,76,4,2.62,clear sky,2022-02-14 19:29:58
259,Villa Altagracia,DO,18.673,-70.171,90.64,51,58,5.82,broken clouds,2022-02-14 19:29:58
260,Kulhudhuffushi,MV,6.6221,73.07,81.41,68,84,2.37,broken clouds,2022-02-14 19:29:58
261,Port Pirie,AU,-33.1833,138.0167,69.89,49,99,6.85,overcast clouds,2022-02-14 19:29:59
